iter	Logloss
0	0.6813149706
1	0.6688032323
2	0.6564827429
3	0.6454011847
4	0.6350733453
5	0.6247248074
6	0.6151678949
7	0.6048192221
8	0.5953447143
9	0.5860105029
10	0.5769533577
11	0.5689077396
12	0.559982649
13	0.5514027176
14	0.5427336388
15	0.5362010188
16	0.528742403
17	0.5210857803
18	0.5130044897
19	0.5053190403
20	0.4987493041
21	0.4935345192
22	0.4878287658
23	0.4819836067
24	0.475291996
25	0.4686486293
26	0.4634825288
27	0.4580608597
28	0.4521386567
29	0.4473905514
30	0.4422474846
31	0.4370008149
32	0.4329942186
33	0.4280997345
34	0.4234296967
35	0.418296767
36	0.4143425978
37	0.4097439453
38	0.4057164528
39	0.4015637592
40	0.3978138299
41	0.3943922967
42	0.3908028448
43	0.38690344
44	0.3831629884
45	0.3796758578
46	0.37707653
47	0.3739334416
48	0.3708814518
49	0.3676476855
50	0.3647032241
51	0.3619341448
52	0.3590262713
53	0.3558770528
54	0.352882835
55	0.3501445611
56	0.347436309
57	0.3448523742
58	0.3421879423
59	0.3398348911
60	0.3374497479
61	0.3351027794
62	0.3331530167
63	0.3316077182
64	0.3294600304
65	0.3272651524
66	0.3251613357
67	0.3232095909
68	0.3211065011
69	0.3194180037
70	0.3173500753
71	0.3152969353
72	0.3134487138
73	0.3117362488
74	0.3098303266
75	0.3081504428
76	0.3064028799
77	0.3051369336
78	0.3035914641
79	0.3021242225
80	0.3006059722
81	0.2992887
82	0.2978572658
83	0.2965832515
84	0.2957103575
85	0.2945896058
86	0.2933515902
87	0.2920778248
88	0.290732564
89	0.2897895566
90	0.2886210334
91	0.2873213109
92	0.286116701
93	0.2849262503
94	0.2836771613
95	0.2829071811
96	0.2816704897
97	0.2805854446
98	0.2795398774
99	0.2786144566
100	0.2775255996
101	0.2765843196
102	0.2757422366
103	0.2747480891
104	0.273967025
105	0.2730641615
106	0.2721531608
107	0.2714585794
108	0.2705945403
109	0.2697936453
110	0.2690060426
111	0.2683506967
112	0.2675105098
113	0.2668338769
114	0.2660695927
115	0.2652969588
116	0.2646124002
117	0.2639235536
118	0.2631952257
119	0.2625032309
120	0.2618174591
121	0.2612203381
122	0.2605949039
123	0.2599488903
124	0.2592990942
125	0.25888603
126	0.2586100259
127	0.2579321976
128	0.2577106403
129	0.2571130783
130	0.2567738565
131	0.2564662396
132	0.2559937481
133	0.2553983106
134	0.2547938047
135	0.2545424168
136	0.2539757792
137	0.2534472249
138	0.252932326
139	0.2524849166
140	0.2519901281
141	0.2515708649
142	0.2510528202
143	0.2505907057
144	0.2500559637
145	0.249542972
146	0.2490755042
147	0.2489364535
148	0.2484542242
149	0.2480049768
150	0.2475237498
151	0.2470990085
152	0.24659852
153	0.2461924131
154	0.2458069123
155	0.2455779148
156	0.2451651003
157	0.2448002446
158	0.2443607015
159	0.2442259836
160	0.2437707613
161	0.2433728585
162	0.2430345785
163	0.2426630602
164	0.2423798953
165	0.2422028819
166	0.2418244922
167	0.2416794447
168	0.2412620276
169	0.2408634332
170	0.240541199
171	0.2402542252
172	0.239877513
173	0.2395055946
174	0.2391902958
175	0.2388092958
176	0.238419414
177	0.2381166778
178	0.237802273
179	0.2374425317
180	0.2373731616
181	0.2370990099
182	0.2367738507
183	0.236473516
184	0.23627265
185	0.2359971024
186	0.2356560193
187	0.2352681402
188	0.2348388195
189	0.2344513169
190	0.2341644175
191	0.2339114735
192	0.2336327688
193	0.2332881167
194	0.2331608459
195	0.2328963593
196	0.23264502
197	0.2323290184
198	0.2319849088
199	0.231630548
