iter	Passed	Remaining
0	6	1289
1	13	1328
2	19	1288
3	25	1269
4	29	1131
5	33	1067
6	36	993
7	40	965
8	48	1024
9	54	1041
10	62	1074
11	65	1023
12	70	1017
13	76	1014
14	82	1017
15	85	981
16	90	978
17	96	977
18	102	976
19	106	960
20	112	955
21	114	925
22	117	901
23	119	875
24	124	872
25	130	873
26	133	855
27	139	854
28	144	854
29	147	837
30	153	839
31	160	843
32	165	839
33	173	845
34	178	843
35	184	839
36	187	826
37	193	826
38	199	823
39	203	814
40	207	804
41	210	790
42	216	789
43	223	794
44	232	802
45	241	810
46	245	798
47	252	798
48	273	843
49	280	840
50	287	839
51	291	828
52	298	827
53	305	824
54	312	823
55	318	820
56	323	812
57	330	809
58	337	805
59	343	801
60	349	796
61	356	793
62	359	781
63	361	769
64	365	759
65	372	756
66	379	752
67	394	765
68	404	767
69	407	757
70	413	751
71	421	749
72	427	744
73	435	742
74	442	737
75	450	734
76	458	731
77	461	721
78	471	721
79	477	715
80	487	715
81	494	711
82	504	711
83	511	706
84	515	696
85	521	691
86	527	685
87	536	682
88	542	676
89	546	667
90	551	660
91	557	654
92	570	656
93	578	652
94	593	656
95	598	647
96	604	641
97	610	635
98	617	630
99	624	624
100	631	619
101	638	613
102	644	606
103	650	600
104	656	593
105	662	587
106	668	580
107	670	571
108	676	565
109	683	559
110	689	552
111	692	544
112	698	537
113	704	531
114	709	524
115	715	517
116	720	511
117	725	504
118	731	497
119	736	491
120	742	484
121	748	478
122	753	471
123	759	465
124	764	458
125	767	450
126	769	442
127	775	435
128	777	427
129	782	421
130	785	413
131	787	405
132	790	398
133	795	391
134	801	385
135	803	378
136	809	372
137	815	366
138	821	360
139	828	354
140	834	349
141	842	344
142	849	338
143	857	333
144	864	327
145	871	322
146	878	316
147	881	309
148	887	303
149	895	298
150	901	292
151	907	286
152	914	280
153	921	275
154	928	269
155	931	262
156	938	256
157	944	251
158	951	245
159	954	238
160	960	232
161	967	226
162	973	221
163	980	215
164	984	208
165	988	202
166	995	196
167	998	190
168	1003	184
169	1009	178
170	1016	172
171	1022	166
172	1029	160
173	1036	154
174	1045	149
175	1053	143
176	1060	137
177	1067	131
178	1074	126
179	1080	120
180	1083	113
181	1089	107
182	1095	101
183	1101	95
184	1106	89
185	1112	83
186	1118	77
187	1124	71
188	1130	65
189	1136	59
190	1142	53
191	1148	47
192	1154	41
193	1161	35
194	1164	29
195	1169	23
196	1175	17
197	1181	11
198	1187	5
199	1192	0
